,Date,Open,High,Low,Close,Volume
494,2021-12-28,116.88,116.9,115.2,116.0,745571.0
495,2021-12-29,116.57,116.57,114.8,115.0,1639485.0
496,2021-12-30,115.0,115.9,114.3,114.85,2189778.0
497,2021-12-31,115.3,117.5,114.31,116.62,2886976.0
498,2022-01-03,117.0,117.9,116.5,117.03,405791.0
499,2022-01-04,117.1,119.0,117.1,118.03,916386.0
500,2022-01-05,118.7,118.94,117.0,117.61,184922.0
501,2022-01-06,117.99,118.7,116.5,116.7,1361906.0
502,2022-01-07,117.9,119.5,116.55,118.28,1340981.0
503,2022-01-10,119.0,121.23,118.03,120.37,2955003.0
504,2022-01-11,120.85,122.5,118.8,122.17,1852575.0
505,2022-01-12,122.75,122.85,121.49,121.59,496255.0
506,2022-01-13,122.0,122.2,121.0,121.5,143600.0
507,2022-01-14,121.5,124.0,121.5,123.13,1138299.0
508,2022-01-17,123.01,123.1,122.0,122.15,449851.0
509,2022-01-18,122.15,123.0,121.23,122.01,476441.0
510,2022-01-19,121.3,122.8,121.05,121.57,768005.0
511,2022-01-20,121.49,122.45,119.7,122.04,350340.0
512,2022-01-21,122.5,122.5,121.05,122.13,96511.0
513,2022-01-24,122.25,122.45,121.15,121.44,220830.0
514,2022-01-25,121.05,122.08,121.0,121.58,311993.0
515,2022-01-26,121.75,121.75,120.8,121.01,271685.0
516,2022-01-27,121.65,121.65,120.5,121.01,403396.0
517,2022-01-28,120.1,121.5,120.1,120.54,456985.0
518,2022-01-31,120.2,121.7,120.2,121.19,691880.0
519,2022-02-01,120.55,122.5,120.55,121.68,376741.0
520,2022-02-02,121.02,128.0,121.0,124.71,3470427.0
521,2022-02-03,126.0,126.0,123.45,123.55,750312.0
522,2022-02-04,123.1,124.9,123.1,123.89,2721987.0
523,2022-02-07,124.44,125.0,123.55,123.92,191597.0
524,2022-02-08,124.4,124.55,123.0,123.58,1701938.0
525,2022-02-09,124.15,124.99,123.16,124.22,1243444.0
526,2022-02-10,124.22,124.99,122.03,122.33,1544517.0
527,2022-02-11,122.8,123.95,121.56,123.23,1131428.0
528,2022-02-14,123.23,124.5,122.45,122.6,532437.0
529,2022-02-15,123.85,123.85,121.6,122.02,1420639.0
530,2022-02-16,122.98,122.98,121.11,121.4,363293.0
531,2022-02-17,121.27,122.44,120.5,121.89,117622.0
532,2022-02-18,122.0,122.9,121.0,121.93,318035.0
533,2022-02-21,122.4,122.6,121.5,121.74,83287.0
534,2022-02-22,122.2,122.2,118.0,121.29,1400159.0
535,2022-02-23,121.65,122.0,119.22,121.41,811166.0
536,2022-02-24,120.0,121.45,115.9,116.44,1874967.0
537,2022-02-25,116.01,117.5,116.01,116.32,1155499.0
538,2022-02-28,117.41,117.41,115.02,116.17,1270047.0
539,2022-03-01,117.98,118.1,116.0,116.3,748773.0
540,2022-03-02,116.94,116.94,114.81,115.46,674871.0
541,2022-03-03,117.0,117.0,114.8,115.16,147193.0
542,2022-03-04,115.0,117.0,115.0,116.27,849987.0
543,2022-03-07,115.1,115.9,112.26,113.0,453555.0
544,2022-03-08,116.0,116.0,111.15,112.33,609309.0
545,2022-03-09,111.0,114.97,111.0,112.29,1056162.0
546,2022-03-10,113.9,115.85,112.3,114.04,1116936.0
547,2022-03-11,114.0,114.86,113.07,114.13,325294.0
548,2022-03-14,114.0,114.5,113.06,113.93,487685.0
549,2022-03-15,114.11,115.5,114.03,115.02,268479.0
550,2022-03-16,115.0,115.9,113.5,113.9,280721.0
551,2022-03-17,114.49,114.85,114.0,114.2,767312.0
552,2022-03-18,113.95,114.45,110.0,110.64,1285603.0
553,2022-03-21,109.5,111.0,108.39,110.61,841768.0
554,2022-03-22,111.34,111.89,109.5,110.05,669559.0
555,2022-03-24,110.68,112.39,109.52,111.98,893817.0
556,2022-03-25,112.84,114.0,110.55,113.51,523841.0
557,2022-03-28,113.69,114.38,111.0,113.7,378809.0
